"three";"lasso.ohne.weight";"lasso.econ.weight";"green.job.three.no.weight";"green.job.three.weight"
611;"0.368231336548898";"0.297439108067096";"yes";"yes"
612;"0.355104819990576";"0.358165169415827";"yes";"yes"
613;"0.34351924753228";"0.346479750664216";"yes";"yes"
620;"0.419304098997269";"0.422917727948871";"yes";"yes"
621;"0.356351366962705";"0.359422459326645";"yes";"yes"
622;"0.43597254735214";"0.474400536421992";"yes";"yes"
630;"0.246167690745877";"0.248289202785362";"yes";"yes"
631;"0.26228048295006";"0.264540857577676";"yes";"yes"
632;"0.165751811955705";"0.167180287250594";"yes";"yes"
633;"0.209718300086101";"0.211525685519929";"yes";"yes"
634;"0.383026322131945";"0.386327303472675";"yes";"yes"
700;"0.324618792160516";"0.327416408182851";"yes";"yes"
710;"0.403314730617002";"0.406790560666483";"yes";"yes"
711;"0.575950118044344";"0.49572939822589";"yes";"yes"
712;"0.409815772781275";"0.452042715034445";"yes";"yes"
713;"0.1581929943754";"0.192679094804646";"yes";"yes"
720;"0.445117399213492";"0.448953491263406";"yes";"yes"
721;"0.443570669828095";"0.467799065496602";"yes";"yes"
722;"0.33439727643463";"0.359065614421719";"yes";"yes"
723;"0.541401862184002";"0.425624279773687";"yes";"yes"
730;"0.201039095926325";"0.202771682607878";"yes";"yes"
731;"0.191494975769403";"0.295538922299031";"yes";"yes"
732;"0.224759707203485";"0.238121383546442";"yes";"yes"
740;"0.541375254308162";"0.546040911756604";"yes";"yes"
741;"0.578372376003863";"0.603593782603695";"yes";"yes"
742;"0.487617588234839";"0.534521739585719";"yes";"yes"
750;"0.231907250324216";"0.233905863635801";"yes";"yes"
751;"0.217587390078696";"0.210363885118267";"yes";"yes"
752;"0.328182772050688";"0.318695593839797";"yes";"yes"
753;"0.149932869414439";"0.106031774381362";"yes";"yes"
754;"0.401995476122728";"0.405219749401086";"yes";"yes"
800;"0.257832174330165";"0.260054212731512";"yes";"yes"
810;"0.286186949453831";"0.288653353785652";"yes";"yes"
811;"0.453382555662393";"0.468177813127605";"yes";"yes"
812;"0.358899637834859";"0.347611604527367";"yes";"yes"
813;"0.272278915070109";"0.479192137500355";"yes";"yes"
814;"0.3074831871408";"0.328105668106923";"yes";"yes"
815;"0.225419671848909";"0.198596575434354";"yes";"yes"
816;"0.216513877114993";"0.218379827904974";"yes";"yes"
817;"0.204998750104154";"0.191619251431509";"yes";"yes"
818;"0.282322670409585";"0.20233696352403";"yes";"yes"
820;"0.299880004010356";"0.302464417249077";"yes";"yes"
821;"0.299880004010356";"0.341593903027243";"yes";"yes"
830;"0.192426147798486";"0.194084506732713";"yes";"yes"
831;"0.183240768287088";"0.1789870856099";"yes";"yes"
832;"0.112182904282512";"0.0831647797536087";"yes";"yes"
833;"0.126018921055753";"0.14637522063497";"yes";"yes"
834;"0.285990854568482";"0.268897950288968";"yes";"yes"
835;"0.251763557703271";"0.253933295808027";"yes";"yes"
900;"0.178289143336825";"0.17982566733375";"yes";"yes"
910;"0.153153469801927";"0.154473370594307";"yes";"yes"
911;"0.085314966824353";"0.0865781008218261";"yes";"yes"
912;"0.219084407538932";"0.225659487522026";"yes";"yes"
921;"0.246518426840139";"0.247715755434813";"yes";"yes"
930;"0.230211656699055";"0.23219565711697";"yes";"yes"
931;"0.367862987637086";"0.399905295710444";"yes";"yes"
932;"0.138798994309253";"0.13812033819694";"yes";"yes"
933;"0.174209870506056";"0.249263478677268";"yes";"yes"
941;"0.0985840790890616";"0.0971798186522167";"yes";"yes"
950;"0.0992281951529548";"0.100083359411252";"yes";"yes"
951;"0.0992281951529548";"0.100083359411252";"yes";"yes"
952;"0.0992281951529548";"0.100083359411252";"yes";"yes"
960;"0.155348518060397";"0.156687336125363";"yes";"yes"
961;"0.171779306042221";"0.186744520004636";"yes";"yes"
962;"0.14612070510574";"0.072406275730075";"yes";"yes"
